# Gyration radius distribution ➜ 1 frames analysed.
      5 ➜ 3.96746 +/- 1.40271 # [3.96746, ]
      4 ➜ 2.75273 +/- 0.97324 # [2.75273, ]
      2 ➜ 1.40158 +/- 0.01638 # [1.42474, 1.37842, ]
