# Average cluster size ➜ 1 frames averaged.
  8.684211 +/- 0.00000    # SiO4-SiO4
  2.000000 +/- 0.00000    # SiO5-SiO5
  4.365854 +/- 0.00000    # SiO6-SiO6
  3.769231 +/- 0.00000    # SiO6-SiO6-stishovite
